,estimator,T,value,measure,design
0,GFE,5,-0.045293710321077985,Bias,"N=1000, sigma=-10"
1,GFE,10,-0.013611303120114493,Bias,"N=1000, sigma=-10"
2,GFE,20,-0.0004836187940863157,Bias,"N=1000, sigma=-10"
3,GFE,30,0.0029787901787303728,Bias,"N=1000, sigma=-10"
4,GFE,40,0.004778427311391109,Bias,"N=1000, sigma=-10"
5,GFE,50,0.00518518650605837,Bias,"N=1000, sigma=-10"
0,FE,5,0.44296358898657706,Bias,"N=1000, sigma=-10"
1,FE,10,0.19833780886450514,Bias,"N=1000, sigma=-10"
2,FE,20,0.09780978421059539,Bias,"N=1000, sigma=-10"
3,FE,30,0.06869702041308723,Bias,"N=1000, sigma=-10"
4,FE,40,0.055214498130711664,Bias,"N=1000, sigma=-10"
5,FE,50,0.04714429360842742,Bias,"N=1000, sigma=-10"
0,TWGFE,5,-0.045691394664461815,Bias,"N=1000, sigma=-10"
1,TWGFE,10,-0.015195399682209954,Bias,"N=1000, sigma=-10"
2,TWGFE,20,-0.0030842429308552965,Bias,"N=1000, sigma=-10"
3,TWGFE,30,-0.0005505331353440335,Bias,"N=1000, sigma=-10"
4,TWGFE,40,0.0007249919949594563,Bias,"N=1000, sigma=-10"
5,TWGFE,50,0.0008562076931830642,Bias,"N=1000, sigma=-10"
0,IFE,5,0.11920097847627376,Bias,"N=1000, sigma=-10"
1,IFE,10,0.10013749779120906,Bias,"N=1000, sigma=-10"
2,IFE,20,0.08673801340382736,Bias,"N=1000, sigma=-10"
3,IFE,30,0.05966820876468226,Bias,"N=1000, sigma=-10"
4,IFE,40,0.04423897487759665,Bias,"N=1000, sigma=-10"
5,IFE,50,0.035496077140054316,Bias,"N=1000, sigma=-10"
0,GFE,5,0.034291387195932256,Standard deviation,"N=1000, sigma=-10"
1,GFE,10,0.022926225392093623,Standard deviation,"N=1000, sigma=-10"
2,GFE,20,0.01625043756151472,Standard deviation,"N=1000, sigma=-10"
3,GFE,30,0.01339268713041953,Standard deviation,"N=1000, sigma=-10"
4,GFE,40,0.010758427480181056,Standard deviation,"N=1000, sigma=-10"
5,GFE,50,0.010391655515461585,Standard deviation,"N=1000, sigma=-10"
0,FE,5,0.07044228816642198,Standard deviation,"N=1000, sigma=-10"
1,FE,10,0.03441713665968314,Standard deviation,"N=1000, sigma=-10"
2,FE,20,0.01974397066217526,Standard deviation,"N=1000, sigma=-10"
3,FE,30,0.015092776957828163,Standard deviation,"N=1000, sigma=-10"
4,FE,40,0.011760515734818504,Standard deviation,"N=1000, sigma=-10"
5,FE,50,0.011182978224913591,Standard deviation,"N=1000, sigma=-10"
0,TWGFE,5,0.0342212713690134,Standard deviation,"N=1000, sigma=-10"
1,TWGFE,10,0.02283383932887772,Standard deviation,"N=1000, sigma=-10"
2,TWGFE,20,0.016213834948834396,Standard deviation,"N=1000, sigma=-10"
3,TWGFE,30,0.013263771185991913,Standard deviation,"N=1000, sigma=-10"
4,TWGFE,40,0.010635159506809592,Standard deviation,"N=1000, sigma=-10"
5,TWGFE,50,0.010266124783077334,Standard deviation,"N=1000, sigma=-10"
0,IFE,5,0.06876517966105937,Standard deviation,"N=1000, sigma=-10"
1,IFE,10,0.03453250414304128,Standard deviation,"N=1000, sigma=-10"
2,IFE,20,0.020964955506594794,Standard deviation,"N=1000, sigma=-10"
3,IFE,30,0.015143549386363087,Standard deviation,"N=1000, sigma=-10"
4,IFE,40,0.011670726996247674,Standard deviation,"N=1000, sigma=-10"
5,IFE,50,0.011096223051962294,Standard deviation,"N=1000, sigma=-10"
0,GFE,5,0.05680003108480856,Root MSE,"N=1000, sigma=-10"
1,GFE,10,0.0266524627669933,Root MSE,"N=1000, sigma=-10"
2,GFE,20,0.016249508649732777,Root MSE,"N=1000, sigma=-10"
3,GFE,30,0.013713420267520003,Root MSE,"N=1000, sigma=-10"
4,GFE,40,0.011766961615247857,Root MSE,"N=1000, sigma=-10"
5,GFE,50,0.011608818930032228,Root MSE,"N=1000, sigma=-10"
0,FE,5,0.44852412980131606,Root MSE,"N=1000, sigma=-10"
1,FE,10,0.20129888519743022,Root MSE,"N=1000, sigma=-10"
2,FE,20,0.09978070174364603,Root MSE,"N=1000, sigma=-10"
3,FE,30,0.07033380935239177,Root MSE,"N=1000, sigma=-10"
4,FE,40,0.05645185758188028,Root MSE,"N=1000, sigma=-10"
5,FE,50,0.04845119567992701,Root MSE,"N=1000, sigma=-10"
0,TWGFE,5,0.057075632848714,Root MSE,"N=1000, sigma=-10"
1,TWGFE,10,0.02741829691612153,Root MSE,"N=1000, sigma=-10"
2,TWGFE,20,0.016496609038248834,Root MSE,"N=1000, sigma=-10"
3,TWGFE,30,0.013268563794977453,Root MSE,"N=1000, sigma=-10"
4,TWGFE,40,0.010654535396266823,Root MSE,"N=1000, sigma=-10"
5,TWGFE,50,0.010296650734948646,Root MSE,"N=1000, sigma=-10"
0,IFE,5,0.1375964917924332,Root MSE,"N=1000, sigma=-10"
1,IFE,10,0.1059189303780536,Root MSE,"N=1000, sigma=-10"
2,IFE,20,0.08923324940444859,Root MSE,"N=1000, sigma=-10"
3,IFE,30,0.06155804495039555,Root MSE,"N=1000, sigma=-10"
4,IFE,40,0.04575102797722589,Root MSE,"N=1000, sigma=-10"
5,IFE,50,0.037188365548725344,Root MSE,"N=1000, sigma=-10"
0,GFE,5,0.9443061297647971,Mean ratio standard error to standard deviation,"N=1000, sigma=-10"
1,GFE,10,0.9783289204212572,Mean ratio standard error to standard deviation,"N=1000, sigma=-10"
2,GFE,20,0.9726215913463552,Mean ratio standard error to standard deviation,"N=1000, sigma=-10"
3,GFE,30,0.9641029388281769,Mean ratio standard error to standard deviation,"N=1000, sigma=-10"
4,GFE,40,1.0378595478116206,Mean ratio standard error to standard deviation,"N=1000, sigma=-10"
5,GFE,50,0.9623545238540867,Mean ratio standard error to standard deviation,"N=1000, sigma=-10"
0,FE,5,0.7098422421164525,Mean ratio standard error to standard deviation,"N=1000, sigma=-10"
1,FE,10,0.798544704279796,Mean ratio standard error to standard deviation,"N=1000, sigma=-10"
2,FE,20,0.8738610947280708,Mean ratio standard error to standard deviation,"N=1000, sigma=-10"
3,FE,30,0.8997830732315307,Mean ratio standard error to standard deviation,"N=1000, sigma=-10"
4,FE,40,0.9814030736846525,Mean ratio standard error to standard deviation,"N=1000, sigma=-10"
5,FE,50,0.9151178980652107,Mean ratio standard error to standard deviation,"N=1000, sigma=-10"
0,TWGFE,5,0.9456931734040854,Mean ratio standard error to standard deviation,"N=1000, sigma=-10"
1,TWGFE,10,0.9801137560926487,Mean ratio standard error to standard deviation,"N=1000, sigma=-10"
2,TWGFE,20,0.9711688665211886,Mean ratio standard error to standard deviation,"N=1000, sigma=-10"
3,TWGFE,30,0.9686124734271534,Mean ratio standard error to standard deviation,"N=1000, sigma=-10"
4,TWGFE,40,1.0439397490504636,Mean ratio standard error to standard deviation,"N=1000, sigma=-10"
5,TWGFE,50,0.9681889373316339,Mean ratio standard error to standard deviation,"N=1000, sigma=-10"
0,IFE,5,0.4399039949365781,Mean ratio standard error to standard deviation,"N=1000, sigma=-10"
1,IFE,10,0.5073786887202345,Mean ratio standard error to standard deviation,"N=1000, sigma=-10"
2,IFE,20,0.5636466052549586,Mean ratio standard error to standard deviation,"N=1000, sigma=-10"
3,IFE,30,0.6282670161776569,Mean ratio standard error to standard deviation,"N=1000, sigma=-10"
4,IFE,40,0.6989741292241521,Mean ratio standard error to standard deviation,"N=1000, sigma=-10"
5,IFE,50,0.6443112069008311,Mean ratio standard error to standard deviation,"N=1000, sigma=-10"
0,GFE,5,-0.04852721342077093,Bias,"N=1000, sigma=1"
1,GFE,10,-0.027555434877211127,Bias,"N=1000, sigma=1"
2,GFE,20,-0.00910970879557016,Bias,"N=1000, sigma=1"
3,GFE,30,-0.0019208521698242942,Bias,"N=1000, sigma=1"
4,GFE,40,0.002374858821153625,Bias,"N=1000, sigma=1"
5,GFE,50,0.0038701147091495525,Bias,"N=1000, sigma=1"
0,FE,5,0.5595024655862244,Bias,"N=1000, sigma=1"
1,FE,10,0.2541539299575304,Bias,"N=1000, sigma=1"
2,FE,20,0.11423426331577158,Bias,"N=1000, sigma=1"
3,FE,30,0.07395965960766393,Bias,"N=1000, sigma=1"
4,FE,40,0.056055725100292,Bias,"N=1000, sigma=1"
5,FE,50,0.04406555046512839,Bias,"N=1000, sigma=1"
0,TWGFE,5,-0.04910386827741542,Bias,"N=1000, sigma=1"
1,TWGFE,10,-0.029893365221349777,Bias,"N=1000, sigma=1"
2,TWGFE,20,-0.013288239075693875,Bias,"N=1000, sigma=1"
3,TWGFE,30,-0.00742079782582572,Bias,"N=1000, sigma=1"
4,TWGFE,40,-0.003784994285928378,Bias,"N=1000, sigma=1"
5,TWGFE,50,-0.0030338444850367408,Bias,"N=1000, sigma=1"
0,IFE,5,0.20549491052634217,Bias,"N=1000, sigma=1"
1,IFE,10,0.14421700120126957,Bias,"N=1000, sigma=1"
2,IFE,20,0.12710352140635117,Bias,"N=1000, sigma=1"
3,IFE,30,0.08642266747041649,Bias,"N=1000, sigma=1"
4,IFE,40,0.06492196111816839,Bias,"N=1000, sigma=1"
5,IFE,50,0.051811539305927745,Bias,"N=1000, sigma=1"
0,GFE,5,0.05697299631933283,Standard deviation,"N=1000, sigma=1"
1,GFE,10,0.02910267764582396,Standard deviation,"N=1000, sigma=1"
2,GFE,20,0.019240661424882403,Standard deviation,"N=1000, sigma=1"
3,GFE,30,0.017011280247886878,Standard deviation,"N=1000, sigma=1"
4,GFE,40,0.013743584726426047,Standard deviation,"N=1000, sigma=1"
5,GFE,50,0.012135559211722014,Standard deviation,"N=1000, sigma=1"
0,FE,5,0.14748742318844088,Standard deviation,"N=1000, sigma=1"
1,FE,10,0.06305141881067151,Standard deviation,"N=1000, sigma=1"
2,FE,20,0.02703830063443692,Standard deviation,"N=1000, sigma=1"
3,FE,30,0.02009400587530221,Standard deviation,"N=1000, sigma=1"
4,FE,40,0.015441454263562906,Standard deviation,"N=1000, sigma=1"
5,FE,50,0.013431612930795894,Standard deviation,"N=1000, sigma=1"
0,TWGFE,5,0.056834316327971285,Standard deviation,"N=1000, sigma=1"
1,TWGFE,10,0.02898990276932384,Standard deviation,"N=1000, sigma=1"
2,TWGFE,20,0.019116119372619714,Standard deviation,"N=1000, sigma=1"
3,TWGFE,30,0.01685075513267194,Standard deviation,"N=1000, sigma=1"
4,TWGFE,40,0.013603462605713525,Standard deviation,"N=1000, sigma=1"
5,TWGFE,50,0.011971262629215421,Standard deviation,"N=1000, sigma=1"
0,IFE,5,0.1269829713540682,Standard deviation,"N=1000, sigma=1"
1,IFE,10,0.043467122467804674,Standard deviation,"N=1000, sigma=1"
2,IFE,20,0.029180800290389747,Standard deviation,"N=1000, sigma=1"
3,IFE,30,0.021692347708827952,Standard deviation,"N=1000, sigma=1"
4,IFE,40,0.015991195114291007,Standard deviation,"N=1000, sigma=1"
5,IFE,50,0.013610845218157218,Standard deviation,"N=1000, sigma=1"
0,GFE,5,0.07481688866611778,Root MSE,"N=1000, sigma=1"
1,GFE,10,0.04006770359756994,Root MSE,"N=1000, sigma=1"
2,GFE,20,0.02127955928479221,Root MSE,"N=1000, sigma=1"
3,GFE,30,0.017110930573022248,Root MSE,"N=1000, sigma=1"
4,GFE,40,0.013940487417293854,Root MSE,"N=1000, sigma=1"
5,GFE,50,0.01273194067869478,Root MSE,"N=1000, sigma=1"
0,FE,5,0.5785964020419009,Root MSE,"N=1000, sigma=1"
1,FE,10,0.2618505796164715,Root MSE,"N=1000, sigma=1"
2,FE,20,0.11738741647550743,Root MSE,"N=1000, sigma=1"
3,FE,30,0.07663808813068043,Root MSE,"N=1000, sigma=1"
4,FE,40,0.05814158914050748,Root MSE,"N=1000, sigma=1"
5,FE,50,0.04606517725453249,Root MSE,"N=1000, sigma=1"
0,TWGFE,5,0.07508727756924741,Root MSE,"N=1000, sigma=1"
1,TWGFE,10,0.04163156653753458,Root MSE,"N=1000, sigma=1"
2,TWGFE,20,0.023273115210069393,Root MSE,"N=1000, sigma=1"
3,TWGFE,30,0.018404679865851852,Root MSE,"N=1000, sigma=1"
4,TWGFE,40,0.014113657301163884,Root MSE,"N=1000, sigma=1"
5,TWGFE,50,0.012343906600752758,Root MSE,"N=1000, sigma=1"
0,IFE,5,0.24152993311621726,Root MSE,"N=1000, sigma=1"
1,IFE,10,0.15061887259033058,Root MSE,"N=1000, sigma=1"
2,IFE,20,0.1304069505063915,Root MSE,"N=1000, sigma=1"
3,IFE,30,0.08910086892883766,Root MSE,"N=1000, sigma=1"
4,IFE,40,0.06686047889666269,Root MSE,"N=1000, sigma=1"
5,IFE,50,0.05356776509893566,Root MSE,"N=1000, sigma=1"
0,GFE,5,0.7340622812464129,Mean ratio standard error to standard deviation,"N=1000, sigma=1"
1,GFE,10,0.9669795755204511,Mean ratio standard error to standard deviation,"N=1000, sigma=1"
2,GFE,20,1.0203862422152754,Mean ratio standard error to standard deviation,"N=1000, sigma=1"
3,GFE,30,0.9436461164588678,Mean ratio standard error to standard deviation,"N=1000, sigma=1"
4,GFE,40,1.0083767188912987,Mean ratio standard error to standard deviation,"N=1000, sigma=1"
5,GFE,50,1.0207313854781528,Mean ratio standard error to standard deviation,"N=1000, sigma=1"
0,FE,5,0.4985217181393033,Mean ratio standard error to standard deviation,"N=1000, sigma=1"
1,FE,10,0.5971597141131356,Mean ratio standard error to standard deviation,"N=1000, sigma=1"
2,FE,20,0.8279463479502306,Mean ratio standard error to standard deviation,"N=1000, sigma=1"
3,FE,30,0.8659343524475185,Mean ratio standard error to standard deviation,"N=1000, sigma=1"
4,FE,40,0.9507338761818758,Mean ratio standard error to standard deviation,"N=1000, sigma=1"
5,FE,50,0.9626089618242225,Mean ratio standard error to standard deviation,"N=1000, sigma=1"
0,TWGFE,5,0.7353197350666426,Mean ratio standard error to standard deviation,"N=1000, sigma=1"
1,TWGFE,10,0.9676971209620678,Mean ratio standard error to standard deviation,"N=1000, sigma=1"
2,TWGFE,20,1.0212394515468706,Mean ratio standard error to standard deviation,"N=1000, sigma=1"
3,TWGFE,30,0.9455898849559446,Mean ratio standard error to standard deviation,"N=1000, sigma=1"
4,TWGFE,40,1.01040553236207,Mean ratio standard error to standard deviation,"N=1000, sigma=1"
5,TWGFE,50,1.0252380261025666,Mean ratio standard error to standard deviation,"N=1000, sigma=1"
0,IFE,5,0.3291674661065496,Mean ratio standard error to standard deviation,"N=1000, sigma=1"
1,IFE,10,0.5174222178264094,Mean ratio standard error to standard deviation,"N=1000, sigma=1"
2,IFE,20,0.5016450294027215,Mean ratio standard error to standard deviation,"N=1000, sigma=1"
3,IFE,30,0.5446355847870528,Mean ratio standard error to standard deviation,"N=1000, sigma=1"
4,IFE,40,0.6244995240751838,Mean ratio standard error to standard deviation,"N=1000, sigma=1"
5,IFE,50,0.6362279461168192,Mean ratio standard error to standard deviation,"N=1000, sigma=1"
0,GFE,5,-0.013059141181169798,Bias,"N=1000, sigma=10"
1,GFE,10,-0.010086965659450997,Bias,"N=1000, sigma=10"
2,GFE,20,0.0031757854461380575,Bias,"N=1000, sigma=10"
3,GFE,30,0.008397577097005282,Bias,"N=1000, sigma=10"
4,GFE,40,0.009400679555902514,Bias,"N=1000, sigma=10"
5,GFE,50,0.01091841701990548,Bias,"N=1000, sigma=10"
0,FE,5,0.7082179164378362,Bias,"N=1000, sigma=10"
1,FE,10,0.3238927038772581,Bias,"N=1000, sigma=10"
2,FE,20,0.1498992463393669,Bias,"N=1000, sigma=10"
3,FE,30,0.0996232970412787,Bias,"N=1000, sigma=10"
4,FE,40,0.07500583835548746,Bias,"N=1000, sigma=10"
5,FE,50,0.06217766948681591,Bias,"N=1000, sigma=10"
0,TWGFE,5,-0.013967839983217711,Bias,"N=1000, sigma=10"
1,TWGFE,10,-0.013101975131173282,Bias,"N=1000, sigma=10"
2,TWGFE,20,-0.0018141057677167893,Bias,"N=1000, sigma=10"
3,TWGFE,30,0.0021182687993279714,Bias,"N=1000, sigma=10"
4,TWGFE,40,0.0022662253455116854,Bias,"N=1000, sigma=10"
5,TWGFE,50,0.003117865692198629,Bias,"N=1000, sigma=10"
0,IFE,5,0.3186672150660337,Bias,"N=1000, sigma=10"
1,IFE,10,0.18601767626947696,Bias,"N=1000, sigma=10"
2,IFE,20,0.16958619518237605,Bias,"N=1000, sigma=10"
3,IFE,30,0.1227464747734599,Bias,"N=1000, sigma=10"
4,IFE,40,0.0914923524918625,Bias,"N=1000, sigma=10"
5,IFE,50,0.07653788348268575,Bias,"N=1000, sigma=10"
0,GFE,5,0.07441832858644447,Standard deviation,"N=1000, sigma=10"
1,GFE,10,0.03569036756587659,Standard deviation,"N=1000, sigma=10"
2,GFE,20,0.023024539810723974,Standard deviation,"N=1000, sigma=10"
3,GFE,30,0.01904416182980585,Standard deviation,"N=1000, sigma=10"
4,GFE,40,0.01581415219885194,Standard deviation,"N=1000, sigma=10"
5,GFE,50,0.01469442558769953,Standard deviation,"N=1000, sigma=10"
0,FE,5,0.24042602676030453,Standard deviation,"N=1000, sigma=10"
1,FE,10,0.09229292954076457,Standard deviation,"N=1000, sigma=10"
2,FE,20,0.03897862587383347,Standard deviation,"N=1000, sigma=10"
3,FE,30,0.0253117048528738,Standard deviation,"N=1000, sigma=10"
4,FE,40,0.019004672731541057,Standard deviation,"N=1000, sigma=10"
5,FE,50,0.016937190326908755,Standard deviation,"N=1000, sigma=10"
0,TWGFE,5,0.07427610252058672,Standard deviation,"N=1000, sigma=10"
1,TWGFE,10,0.035477317027197766,Standard deviation,"N=1000, sigma=10"
2,TWGFE,20,0.022808608488024355,Standard deviation,"N=1000, sigma=10"
3,TWGFE,30,0.01877377588134936,Standard deviation,"N=1000, sigma=10"
4,TWGFE,40,0.01567211702312032,Standard deviation,"N=1000, sigma=10"
5,TWGFE,50,0.014461478821644917,Standard deviation,"N=1000, sigma=10"
0,IFE,5,0.25791950621918086,Standard deviation,"N=1000, sigma=10"
1,IFE,10,0.0605439670174708,Standard deviation,"N=1000, sigma=10"
2,IFE,20,0.0382449056737864,Standard deviation,"N=1000, sigma=10"
3,IFE,30,0.030316866303012877,Standard deviation,"N=1000, sigma=10"
4,IFE,40,0.020439540043511985,Standard deviation,"N=1000, sigma=10"
5,IFE,50,0.0177524914674833,Standard deviation,"N=1000, sigma=10"
0,GFE,5,0.07551881030816189,Root MSE,"N=1000, sigma=10"
1,GFE,10,0.03707122079005954,Root MSE,"N=1000, sigma=10"
2,GFE,20,0.023231119586925125,Root MSE,"N=1000, sigma=10"
3,GFE,30,0.020804728327958773,Root MSE,"N=1000, sigma=10"
4,GFE,40,0.018390489348341373,Root MSE,"N=1000, sigma=10"
5,GFE,50,0.018300875591884747,Root MSE,"N=1000, sigma=10"
0,FE,5,0.747876652151244,Root MSE,"N=1000, sigma=10"
1,FE,10,0.33677284701011057,Root MSE,"N=1000, sigma=10"
2,FE,20,0.15487930137641556,Root MSE,"N=1000, sigma=10"
3,FE,30,0.10278542228123475,Root MSE,"N=1000, sigma=10"
4,FE,40,0.07737371773061344,Root MSE,"N=1000, sigma=10"
5,FE,50,0.06444101279903618,Root MSE,"N=1000, sigma=10"
0,TWGFE,5,0.07554153175598075,Root MSE,"N=1000, sigma=10"
1,TWGFE,10,0.03780268688549438,Root MSE,"N=1000, sigma=10"
2,TWGFE,20,0.022869266894137204,Root MSE,"N=1000, sigma=10"
3,TWGFE,30,0.01888357140184279,Root MSE,"N=1000, sigma=10"
4,TWGFE,40,0.015827362826795602,Root MSE,"N=1000, sigma=10"
5,TWGFE,50,0.01478669407994095,Root MSE,"N=1000, sigma=10"
0,IFE,5,0.40988381667809054,Root MSE,"N=1000, sigma=10"
1,IFE,10,0.19561309326056317,Root MSE,"N=1000, sigma=10"
